ID,City,Restaurant Name,Area Name,Cost for Two,Cuisines,Average Rating,Total Ratings,Is Open,Next Close Time,Aggregated Discount Info,Serviceability,Restaurant Link
1,Pune,KFC,JM Road,₹400 for two,"Burgers, Biryani, American, Snacks, Fast Food",4.1,1K+,True,2023-09-02 01:00:00,40% OFF,SERVICEABLE,https://www.swiggy.com/restaurants/kfc-deccan-gymkhana-jm-road-pune-243625
2,Pune,McDonald's,Shaniwar Peth,₹400 for two,"Burgers, Beverages, Cafe, Desserts",4.3,1K+,True,2023-09-01 23:45:00,10% OFF,SERVICEABLE,https://www.swiggy.com/restaurants/mcdonalds-narayan-peth-shaniwar-peth-pune-506982
3,Pune,Domino's Pizza,Rasta Peth,₹400 for two,"Pizzas, Italian, Pastas, Desserts",3.9,500+,True,2023-09-01 22:59:00,₹100 OFF,SERVICEABLE,https://www.swiggy.com/restaurants/dominos-pizza-somwar-peth-rasta-peth-pune-456986
4,Pune,Burger King,Shivajinagar,₹350 for two,"Burgers, American",4,5K+,True,2023-09-02 02:00:00,EVERY ITEM,SERVICEABLE,https://www.swiggy.com/restaurants/burger-king-the-pavillion-mall-shivajinagar-pune-42581
5,Pune,Marz O Rin,Camp,₹450 for two,"Bakery, Beverages, Snacks, Desserts",4.5,10K+,True,2023-09-01 21:00:00,,SERVICEABLE,https://www.swiggy.com/restaurants/marz-o-rin-mg-road-camp-pune-5496
6,Pune,Priya,Camp,₹250 for two,"South Indian, Beverages",4.4,10K+,True,2023-09-01 22:30:00,,SERVICEABLE,https://www.swiggy.com/restaurants/priya-mg-road-camp-pune-7887
7,Pune,Murli Best Bhelpuri,Camp,₹200 for two,"Chaat, Snacks",4.3,10K+,True,2023-09-01 22:00:00,20% OFF,SERVICEABLE,https://www.swiggy.com/restaurants/murli-best-bhelpuri-kumar-pavillion-camp-pune-15766
8,Pune,Garden Vada Pav Centre,Camp Area,₹100 for two,Street Food,4.3,10K+,True,2023-09-01 21:30:00,10% OFF,SERVICEABLE,https://www.swiggy.com/restaurants/garden-vada-pav-centre-buttee-street-camp-area-pune-59016
9,Pune,Subway,Deccan Gymkhana,₹350 for two,"Healthy Food, Salads, Snacks, Desserts, Beverages",4.2,10K+,True,2023-09-02 03:00:00,,SERVICEABLE,https://www.swiggy.com/restaurants/subway-fc-road-deccan-gymkhana-pune-5624
10,Pune,Wow! Momo,Camp,₹300 for two,"Tibetan, Healthy Food, Asian, Chinese, Snacks, Continental, Desserts, Beverages",4,1K+,True,2023-09-01 23:00:00,,SERVICEABLE,https://www.swiggy.com/restaurants/wow-momo-camp-pune-260595
11,Pune,Samudra Veg,Erandwane,₹450 for two,"North Indian, Chinese, South Indian",4.4,10K+,True,2023-09-01 23:55:00,₹125 OFF,SERVICEABLE,https://www.swiggy.com/restaurants/samudra-veg-pandurang-colony-erandwane-pune-11887
