id,city_name,restaurant_url,restaurant_name,restaurant_cuisines,restaurant_locality,restaurant_rating,cost_for_two,count_of_ratings,offers
1,abohar,https://www.swiggy.com/restaurants/the-second-wife-dhaujha-furniture-central-abohar-abohar-729933,The Second Wife,"Indian, North Indian, Snacks, Thalis",Central Abohar,3.3,₹250 for two,10+ ratings,FLAT 10% OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
2,abohar,https://www.swiggy.com/restaurants/snakkers-hanuman-garh-road-near-dav-coleege-abohar-656071,Snakkers	,"Pizzas, Burgers, Beverages",NEAR DAV COLEEGE,4,₹200 for two,20+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
3,abohar,https://www.swiggy.com/restaurants/just-baked-ward-22-central-abohar-abohar-427610,Just Baked,"Beverages, Pizzas",Central Abohar,3.9,₹300 for two,20+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
4,bagalkot,https://www.swiggy.com/restaurants/pakwann-chaat-kichen-pakwann-murnala-village-bagalkot-669159,Pakwann Chaat Kichen,"Chaat, Desserts, Chinese",Murnala Village,3.8,₹200 for two,10+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
5,bagalkot,https://www.swiggy.com/restaurants/surabhi-restaurant-murnala-village-nava-nagar-bagalkot-375691,Surabhi Restaurant,"Chinese, North Indian, South Indian, Biryani",Nava Nagar,3.5,₹250 for two,100+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
6,aurangabad,https://www.swiggy.com/restaurants/chitale-xpress-laxmi-sankul-usmanpura-aurangabad-671235,Chitale Xpress,"Sweets, Snacks",Usmanpura,4.6,₹500 for two,20+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
7,aurangabad,https://www.swiggy.com/restaurants/safa-restaurant-naralibag-shahgunj-aurangabad-91098,Safa Restaurant,"Mughlai, North Indian, Biryani, Arabian, Chinese, Tandoor, Maharashtrian",Shahgunj,3.8,₹150 for two,10K+ ratings,FLAT ₹125 OFF; 60% OFF UPTO ₹120; FLAT ₹150 OFF; 50% OFF UPTO ₹250; 40% OFF UPTO ₹120
8,aurangabad,https://www.swiggy.com/restaurants/yalla-yalla-gajanan-mandir-road-gadia-vihar-cidco-aurangabad-461774,Yalla Yalla (Gajanan Mandir Road),"Chinese, North Indian, Ice Cream, Biryani",Cidco,4.1,₹400 for two,100+ ratings,10% OFF UPTO ₹40; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 10% OFF UPTO ₹40; 20% OFF UPTO ₹120
9,arakkonam,https://www.swiggy.com/restaurants/hotel-vaigai-arakkonam-locality-arakkonam-512014,Hotel Vaigai,"Chinese, Snacks",Arakkonam Locality,3.8,₹250 for two,100+ ratings,20% OFF UPTO ₹50; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
10,arambagh,https://www.swiggy.com/restaurants/bharat-biryani-hooghly-arambagh-arambagh-674738,Bharat Biryani	,Biryani,Arambagh,3.9,₹200 for two,100+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
11,ankleshwar,https://www.swiggy.com/restaurants/pizza-point-ganesh-squre-gidc-ankleshwar-601385,Pizza Point,"Pizzas, Snacks",GIDC,3.7,₹200 for two,20+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
12,anantapur,https://www.swiggy.com/restaurants/the-pizza-bakery-sai-nagar-anantapur-anantapur-586797,The Pizza Bakery,"Pizzas, Beverages, Juices",Anantapur,,₹250 for two,Too Few Ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
13,ankleshwar,https://www.swiggy.com/restaurants/santushti-shakes-and-more-road-gidc-ankleshwar-640966,Santushti Shakes & More,"Beverages, Ice Cream",GIDC,3.8,₹200 for two,20+ ratings,10% OFF UPTO ₹40; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
14,anantapur,https://www.swiggy.com/restaurants/raju-gari-biryani-ashok-nagar-anantapur-anantapur-543308,Raju Gari Biryani,Biryani,Anantapur,2,₹200 for two,50+ ratings,40% OFF UPTO ₹80; FLAT ₹175 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
15,anantapur,https://www.swiggy.com/restaurants/vivaha-bhojanambu-kakkalapalli-anantapur-anantapur-552789,Vivaha Bhojanambu,"Biryani, South Indian",Anantapur,3.4,₹800 for two,100+ ratings,40% OFF UPTO ₹80; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
16,anantapur,https://www.swiggy.com/restaurants/fried-wings-adimurthy-nagar-anantapur-718916,Fried Wings,"Pizzas, Fast Food, Burgers, Tandoor",Adimurthy Nagar,2.9,₹250 for two,8 ratings,40% OFF UPTO ₹80; FLAT 30% OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
17,ankleshwar,https://www.swiggy.com/restaurants/monginis-station-road-gidc-ankleshwar-533038,Monginis,"Bakery, Snacks",GIDC,3.2,₹200 for two,50+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
18,yavatmal,https://www.swiggy.com/restaurants/ifc-restaurant-gedam-nagar-yavatmal-city-yavatmal-752642,IFC Restaurant,"Chinese, Burgers, Snacks",Yavatmal City,,₹200 for two,Too Few Ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
19,aurangabad,https://www.swiggy.com/restaurants/dominos-pizza-jalna-raod-aurangpura-aurangabad-74403,Domino's Pizza,"Pizzas, Italian, Pastas, Desserts",Aurangpura,4.3,₹400 for two,1K+ ratings,FLAT ₹150 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
20,anantapur,https://www.swiggy.com/restaurants/hyderabad-biryani-house-gulzarpet-anantapur-anantapur-235739,Hyderabad Biryani House,"Biryani, Chinese, Continental, North Indian, South Indian, Indian",Anantapur,3.9,₹200 for two,1K+ ratings,FLAT ₹125 OFF; 60% OFF UPTO ₹120; FLAT ₹175 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80
21,yavatmal,https://www.swiggy.com/restaurants/pet-pooja-yerawar-chowk-pangari-yavatmal-140473,Pet Pooja,"Pastas, Desserts, Chinese, North Indian, South Indian, Burgers, Ice Cream, Pizzas, Biryani",Pangari,3.5,₹150 for two,1K+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
22,anantapur,https://www.swiggy.com/restaurants/warmoven-cakes-and-desserts-aravinda-nagar-adimurthy-nagar-anantapur-682275,WarmOven Cakes & Desserts,"Bakery, Desserts, Ice Cream, Beverages",Adimurthy Nagar,3.6,₹200 for two,50+ ratings,60% OFF UPTO ₹120; FLAT ₹150 OFF; FLAT 20% OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80
23,ankleshwar,https://www.swiggy.com/restaurants/the-belgian-waffle-co-sardar-park-raod-gidc-ankleshwar-376864,The Belgian Waffle Co.,"Waffle, Desserts, Ice Cream, Beverages",GIDC,4.6,₹200 for two,100+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
24,yavatmal,https://www.swiggy.com/restaurants/chicken-affair-godhani-road-yavatmal-city-yavatmal-707994,Chicken Affair,Chinese,Yavatmal City,2.9,₹250 for two,6 ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
25,yavatmal,https://www.swiggy.com/restaurants/one-bite-church-road-yavatmal-city-yavatmal-619190,One Bite,Indian,Yavatmal City,4.1,₹250 for two,100+ ratings,FLAT ₹175 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
26,amritsar,https://www.swiggy.com/restaurants/shri-krishna-misthan-bhandar-mandir-shri-longawali-devi-ji-golden-temple-road-katra-ahluwalia-amritsar-104545,Shri Krishna Misthan Bhandar Mandir Shri Longawali  Devi Ji,"Sweets, Snacks, Beverages",Katra Ahluwalia,4.5,₹250 for two,10K+ ratings,50% OFF UPTO ₹100; Free Free Delight; FLAT 20% OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80
27,amritsar,https://www.swiggy.com/restaurants/mcdonalds-the-celebration-mall-basant-nagar-amritsar-253994,McDonald's,American,Basant Nagar,4.2,₹400 for two,1K+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
28,amreli,https://www.swiggy.com/restaurants/dosa-in-chital-road-yamuna-park-amreli-188072,Dosa.in,"North Indian, South Indian, Burgers, Pizzas",Yamuna Park,3.4,₹100 for two,100+ ratings,FLAT ₹125 OFF; Free Free Delight; FLAT ₹75 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80
29,amritsar,https://www.swiggy.com/restaurants/poornima-chinese-food-crystal-chowk-ina-colony-amritsar-112611,Poornima Chinese Food,"Chinese, Pizzas, Punjabi, Italian, Snacks, Fast Food",INA Colony,4.2,₹200 for two,10K+ ratings,FLAT ₹125 OFF; 50% OFF UPTO ₹100; FLAT ₹175 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80
30,amritsar,https://www.swiggy.com/restaurants/crystal-restaurant-crystal-chowk-ina-colony-amritsar-75342,Crystal Restaurant,"North Indian, Continental, American, Chinese, Mughlai",INA Colony,4.2,₹800 for two,500+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
31,amritsar,https://www.swiggy.com/restaurants/r-k-food-plaza-subhash-park-town-hall-amritsar-76923,R K Food Plaza,"North Indian, Chinese, South Indian, Beverages",Town Hall,4.3,₹200 for two,10K+ ratings,30% OFF UPTO ₹75; FLAT ₹125 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
32,amritsar,https://www.swiggy.com/restaurants/brijwasi-chat-bhandar-maharaja-ranjit-singh-nagar-ina-colony-amritsar-296610,Brijwasi Chat Bhandar,"Chaat, Snacks, North Indian",INA Colony,4,₹150 for two,1K+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
33,amritsar,https://www.swiggy.com/restaurants/old-kundan-dhaba-grand-trunk-road-amritsar-junction-amritsar-112863,Old Kundan Dhaba,"North Indian, Chinese",Amritsar Junction,3.8,₹200 for two,10K+ ratings,FLAT ₹125 OFF; 60% OFF UPTO ₹120; Free Free Delight; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80
34,yavatmal,https://www.swiggy.com/restaurants/dominos-pizza-bangar-nagar-yavatmal-locality-yavatmal-156368,Domino's Pizza,"Pizzas, Italian, Pastas, Desserts",Yavatmal Locality,3.9,₹400 for two,500+ ratings,FLAT ₹150 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
35,amritsar,https://www.swiggy.com/restaurants/south-indian-madrasri-dosa-wala-a-block-market-ranjit-avenue-amritsar-633986,South Indian Madrasri Dosa Wala,"Fast Food, Bakery, Beverages",Ranjit Avenue,4,₹250 for two,500+ ratings,40% OFF UPTO ₹80; Free Free Delight; FLAT ₹175 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80
36,amreli,https://www.swiggy.com/restaurants/student-live-puff-yogi-nagar-amreli-town-amreli-690018,Student live puff,Indian,Amreli Town,4.4,₹300 for two,20+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
37,amreli,https://www.swiggy.com/restaurants/bajarang-sandwich-town-d-l-b-society-amreli-226292,Bajarang Sandwich,"Fast Food, Street Food",D.L.B. Society,3.1,₹100 for two,100+ ratings,30% OFF UPTO ₹75; FLAT ₹125 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; FLAT ₹150 OFF
38,amreli,https://www.swiggy.com/restaurants/eatry-zone-nagnath-complex-amreli-town-amreli-696916,Eatry Zone,Snacks,Amreli Town,3.9,₹250 for two,20+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
39,amritsar,https://www.swiggy.com/restaurants/los-fiesta-majitha-road-basant-nagar-amritsar-78207,Los Fiesta,"Pizzas, Italian-American, Chinese, American, Pastas, Snacks, Beverages, Desserts, Fast Food, Salads, North Indian",Basant Nagar,4.1,₹100 for two,10K+ ratings,60% OFF UPTO ₹120; FLAT ₹175 OFF; 40% OFF UPTO ₹120; 20% OFF UPTO ₹80; FLAT ₹175 OFF
40,amreli,https://www.swiggy.com/restaurants/china-town-station-road-d-l-b-society-amreli-188007,China Town,"North Indian, Biryani",D.L.B. Society,4,₹200 for two,100+ ratings,40% OFF UPTO ₹120; 20% OFF UPTO ₹80; 20% OFF UPTO ₹120
